Log_v, PQ_v, Duration, Sent, Received, Mpbs_S, Mbps_R, QUIC_v, ALPN, CNX_ID, T64, is_client, pkt_recv, trains_s, t_short, tb_cwin, tb_pacing, tb_others, pkt_sent, retrans., spurious, delayed_ack_option, min_ack_delay_remote, max_ack_delay_remote, max_ack_gap_remote, min_ack_delay_local, max_ack_delay_local, max_ack_gap_local, max_mtu_sent, max_mtu_received, zero_rtt, srtt, minrtt, cwin, ccalgo, bwe_max, p_quantum, p_rate
1, 1.1.0.1, 16.982345, 5000000, 397, 2.355387, 0.000187, 0x1, perf, 0xe9784b302b42e3b4, 1675781648551669, 0, 1514, 4120, 1, 0, 0, 0, 4121, 0, 0, 1, 1000, 10000, 2, 8408, 25000, 11, 1440, 1440, 0, 40496, 33634, 36650, 5, 559056, 32768, 1025852
1, 1.1.0.1, 16.568871, 5000000, 397, 2.414166, 0.000192, 0x1, perf, 0x323778740bd2a6e8, 1675781857673944, 0, 1440, 4118, 0, 0, 0, 0, 4118, 1, 1, 1, 1000, 10000, 2, 8391, 25000, 14, 1440, 1440, 1, 40223, 33565, 38964, 5, 503643, 32768, 666281
